lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
104.53751537249741,26.651341955444632,刘家羊汤锅,龙场镇龙场中心幼儿园岔路口直行50米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0GK7U1QNI,餐饮服务,中餐厅,中餐厅,
104.58241944578795,26.65828441178193,河块果子,[],贵州省,毕节市,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0LK6HKFWQ,餐饮服务,餐饮相关场所,餐饮相关,
104.53481018843974,26.650117353097485,徐树兰小吃店,和兴医院东侧170米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0KR6126R6,餐饮服务,中餐厅,中餐厅,
104.53905141174508,26.646699344739805,龙场元娅小馄饨,龙场镇卫生院东南侧90米,贵州省,毕节市,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0L251DE6D,餐饮服务,中餐厅,特色/地方风味餐厅,
104.53993603228606,26.64636137795312,悦茶,龙场镇政府北侧60米,贵州省,毕节市,,餐饮服务;冷饮店;冷饮店,050700,B0L05CTCLZ,餐饮服务,冷饮店,冷饮店,
104.5382729830153,26.6464695077304,大桂柠檬茶,龙场镇,贵州省,毕节市,,餐饮服务;冷饮店;冷饮店,050700,B0KBSLFW2Y,餐饮服务,冷饮店,冷饮店,
104.53861962690769,26.646444321362846,小镇时光,龙场镇卫生院东侧80米,贵州省,毕节市,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0KDP54ZGJ,餐饮服务,餐饮相关场所,餐饮相关,
104.53728210456592,26.64691118117958,黔睿羊肉粉,龙场镇,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0KKACTDRW,餐饮服务,中餐厅,中餐厅,
104.53828802112137,26.646210529451523,古月堂火锅坊,威宁县龙场镇邮政对面,贵州省,毕节市,,餐饮服务;中餐厅;火锅店,050117,B0HDZA032Q,餐饮服务,中餐厅,火锅店,
104.53806759885018,26.646501024799008,吴记烙锅烤鱼,龙场镇卫生院西南侧120米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0L04LZDH1,餐饮服务,中餐厅,中餐厅,
104.53801550077833,26.646518902614226,雄卫羊肉粉面馆,689县道东北侧,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0G109IBEP,餐饮服务,中餐厅,中餐厅,
104.5384533358964,26.646012907970263,威宁县天香一品蛋糕店,龙场镇政府三岔路口,贵州省,毕节市,,餐饮服务;糕饼店;糕饼店,050800,B0JDPUOPX4,餐饮服务,糕饼店,糕饼店,
104.53878094914312,26.645817666027046,马氏清真餐馆,龙场镇政府三岔路口往政府方向150米,贵州省,毕节市,,餐饮服务;中餐厅;清真菜馆,050121,B0LG774KOR,餐饮服务,中餐厅,清真菜馆,
104.53865471543725,26.645838371414673,巧儿重庆火锅,威宁县龙场政府三岔路,贵州省,毕节市,,餐饮服务;中餐厅;火锅店,050117,B0JUYHQDAF,餐饮服务,中餐厅,火锅店,
104.53983288507813,26.645370086973593,乌江片片鱼(道场分店),龙场镇退役军人服务站西侧,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0L0Z6DF3R,餐饮服务,中餐厅,中餐厅,
104.53300256932746,26.649792847764328,小刘川菜馆,龙丰村合兴医院旁,贵州省,毕节市,,餐饮服务;中餐厅;四川菜(川菜),050102,B0FFMCK7IU,餐饮服务,中餐厅,四川菜(川菜),
104.5372279998817,26.646964054783222,源粉,龙场镇卫生院西侧150米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0LKXCOQSX,餐饮服务,中餐厅,中餐厅,
104.53126590943569,26.65164953817529,兰琳餐饮,和兴医院西北侧260米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0MBD6F3F3,餐饮服务,中餐厅,中餐厅,
104.53963251691182,26.645519632004394,安彝特色烤小肠,龙场镇退役军人服务站西侧50米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0L0JKEGFA,餐饮服务,中餐厅,中餐厅,
104.53858056942785,26.64606720971746,便民早餐,龙场镇政府西侧130米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0L1TY2504,餐饮服务,中餐厅,中餐厅,
104.53235423097658,26.650053228141967,李氏伊阁园清真餐馆,689县道,贵州省,毕节市,,餐饮服务;中餐厅;清真菜馆,050121,B0KAF9P31Q,餐饮服务,中餐厅,清真菜馆,
104.53970566165269,26.645204784121127,拾光小屋饮吧,龙场镇镇政府斜对面,贵州省,毕节市,,餐饮服务;冷饮店;冷饮店,050700,B0JDBS8XPX,餐饮服务,冷饮店,冷饮店,
104.5330526818891,26.649525960477664,东森餐馆,龙场镇龙丰社区,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0IBGCNV5R,餐饮服务,中餐厅,中餐厅,
104.53863267980883,26.645708312760785,满嘴香烧烤,龙场镇政府西侧120米,贵州省,毕节市,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0JAOBTNDH,餐饮服务,中餐厅,特色/地方风味餐厅,
104.53898133329011,26.645418112918065,巧翰螺蛳粉,威宁彝族回族苗族自治县人民法院龙场人民法庭西南侧,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0I2PAAEFN,餐饮服务,中餐厅,中餐厅,
104.53778207221816,26.646291337895534,把食小吃,龙场镇卫生院西南侧150米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0L0PL180J,餐饮服务,中餐厅,中餐厅,
104.53091516783215,26.65179864728333,雅尊食府,圆通快递东南侧150米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0LKDOP0K4,餐饮服务,中餐厅,中餐厅,
104.5330727241505,26.649489008922007,举庆羊肉粉馆,"689县道,龙场镇",贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0K2SD51CT,餐饮服务,中餐厅,中餐厅,
104.53883104139861,26.645817783246056,昭通璟柠小肉串,威宁彝族回族苗族自治县人民法院龙场人民法庭西北侧50米,贵州省,毕节市,,餐饮服务;中餐厅;中餐厅,050100,B0M6S73XG5,餐饮服务,中餐厅,中餐厅,
